,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5,blip,Caption 1 score,Caption 2 score,Caption 3 score,Caption 4 score,Caption 5 score,blip score
1087168168_70280d024a.jpg,A boy is jumping on an inflatable ring and a girl is watching him,A boy jumping on a water jumphouse,A teenage boy is jumping on an inflatable slide .,A young boy jumping and a young girl seating in an inflatable pool .,Two young kids are playing in the water on an inflated toy .,a boy jumping in the water .,30.919971466064453,32.85755920410156,33.99235153198242,30.87165641784668,27.343856811523438,28.829099655151367
2724485630_7d2452df00.jpg,Two blonde women are wearing white I love beer shirts .,Two blond haired women wear matching clothing and love beer .,"Two blond women in "" I love beer "" shirts walk outside .",Two woman wearing similar shirts walk to the left .,Two women wear shirts depicting how much they like beer,a woman wearing a white shirt .,30.871980667114258,28.89531135559082,33.32601547241211,30.301727294921875,31.428312301635742,26.7978515625
3507076266_8b17993fbb.jpg,A man in a brown jacket is leading a black shire horse .,A man walking a large black horse .,Man in brown jacket leading black horse,Man leads a black show horse as crowd observes .,The man is walking with a draft horse,a man walking a horse .,35.06416320800781,32.72480392456055,27.61844253540039,33.23701858520508,27.488422393798828,28.582626342773438
3336211088_4c294a870b.jpg,A busy plaza with several people having conversations .,A crowd of people stand talking in a business district .,A group of people in winter coats stand in front of a large building .,A small group of people is chatting in a city plaza .,A street scene with people of many ages and backgrounds .,a group of people .,26.672348022460938,28.885635375976562,24.861919403076172,25.387224197387695,30.455875396728516,23.826974868774414
783994497_4f6885454d.jpg,A group of people are getting fountain drinks at a convenience store .,people get their slushies .,Several adults are filling their cups and a drink machine .,Two boys in front of a soda machine .,Two guys getting a drink at a store counter .,two boys in a store .,26.07149314880371,23.31808090209961,25.22446060180664,30.405067443847656,28.504865646362305,31.985734939575195
3597354819_0069aaf16e.jpg,The children are near a large pile of sand that is next to the water .,The two boys are playing in wet sand .,Two boys play in the sand,Two skinny young boys playing with sand in the water .,Two young boys sitting in water and digging in the sand .,two boys playing in the sand at the beach .,33.28607177734375,34.27957534790039,32.60594177246094,35.239620208740234,37.8868522644043,31.834476470947266
2738255684_0324ed062d.jpg,A group of greyhound dogs runs around a dirt track .,Greyhounds race on a sandy track with the dog in green taking the lead .,Race dogs run around a curve .,The horses are racing along the dirt track .,Three muzzled greyhounds race around a turn in a track .,a dog running in the dirt .,34.358070373535156,32.83415985107422,29.113361358642578,30.378063201904297,33.02281951904297,25.497709274291992
3029715635_43ab414dfb.jpg,A black and white dog with a blue toy in its mouth runs on a grassy surface just beyond a fence .,a black dog is running pasts a wire mesh fence with a blue bone shaped toy in its mouth .,A black dog is running with a blue bone in his mouth .,A black dog running with a blue toy in his mouth .,A dog is running with a blue bone in its mouth,a dog running with a fr frc .,36.37311553955078,37.98109436035156,34.17251968383789,35.72848892211914,33.878108978271484,33.658599853515625
3188319076_71724fcc07.jpg,A black and white dog jumps up and down in the snow .,A boxer leaps in the snow .,A brown and white dog wearing a red collar is standing in the snow .,A dog above snow .,Large dog out in the snow .,a dog in the snow .,27.83390998840332,33.62638854980469,34.070892333984375,28.219669342041016,30.54848861694336,30.263795852661133
457631171_12b1aee828.jpg,A man extends his arms in front of a large rock formation .,A man in the desert .,A man poses in front of a large rock formation .,A man standing next to a huge rock formation .,A man stands next to a strange rock formation with his arms in the air .,a large rock formation .,32.0191535949707,24.562646865844727,31.842376708984375,32.29180145263672,34.95825958251953,30.32159996032715
410422753_de506155fa.jpg,A black and brown dog runs through the snow next to some trees .,A dog in the snow .,A dog is running in the snow .,A dog runs through the snow .,a dog with a shiny dog tags changes course of his stride,a dog running in the snow .,33.50148010253906,28.18992042541504,31.656970977783203,31.600614547729492,30.748838424682617,32.291236877441406
2704257993_d485058a5f.jpg,"Little boy skating in roller rink , two little girls in background .",Three children are skating on a rollerskating rink .,"Three children on skates in an arena two girls and one boy , boy is wearing orange wheeled skates .",three young people skating in a skating rink,Two girls and a boy rollerskating .,a group of kids are skateboarding in a gym .,30.512088775634766,31.99440574645996,27.734933853149414,27.367475509643555,29.69849967956543,28.136014938354492
2225231022_1632d0a5aa.jpg,A man and two women standing by a wood pole in front of steps .,Three students standing together in front of a stairway .,Three young adults look towards the camera in a school setting .,Two women and a man are all wearing black jackets and smiling .,Two women and a man smile for the camera .,two people standing on a sidewalk .,32.400516510009766,37.09231185913086,33.65034484863281,32.90317153930664,29.383878707885742,26.25118637084961
3069216757_c419b3898e.jpg,A girl in a pink striped shirt is in front of an armoire .,A girl in a pink striped shirt poses for the camera .,A girl wearing a pink striped shirt throws her arms into the air .,A young girl wearing a pink and orange stripped shirt extends her arms forward and appears to be happy .,The girl wearing the pink striped shirt is standing in the doorway with her arm outstretched .,a girl in a pink and white striped dress .,26.06534767150879,29.35757827758789,34.2581672668457,32.240150451660156,29.84992218017578,26.521636962890625
3214151585_f2d0b00b41.jpg,a man in a wetsuit is surfing,A man surfing in a wave,a surfer is riding a wave through green colored ocean water .,A surfer rides a big wave across dark green water .,The surfer is coming in from riding a big wave .,the water is wavy .,29.271116256713867,29.834760665893555,31.24848175048828,31.058666229248047,27.983718872070312,24.142976760864258
3541483943_9776baee7c.jpg,A man performing a trick on a skateboard at a graffiti covered skate park .,A man wearing a grey shirt is doing a skateboard trick on stairs .,a skateboarder has kicked his board up onto its back wheels in an indoor skate center .,A skateboarder jumping down the stairs .,"The boy is jumping a skateboard down the steps , surrounded by graffiti covered walls .",a man is doing a trick on a skateboard .,34.001220703125,28.396305084228516,32.09487533569336,29.8929386138916,30.312925338745117,28.72167205810547
3703035378_c6034cac51.jpg,A big sister in pink is giving her little sister a piggy back ride .,An Asian girl is riding piggy back on another girl as they pass some red tape .,One child carries another child on her back .,One little girl standing with another little girl piggybacking on her back look at an object .,Two girls in pink shirts looking at a fountain from behind a red velvet rope .,a little girl hugging a little girl .,26.835285186767578,32.757232666015625,26.087657928466797,29.39385414123535,27.847965240478516,28.039188385009766
2579460386_94c489028d.jpg,A dog is a body of water .,A dog running through the water .,A dog swimming .,This dog is jumping through the water .,Wet dog jumping in water,a dog splashing in the water .,27.41864585876465,31.179323196411133,32.97894287109375,29.17925262451172,30.26739501953125,33.23386001586914
2786299623_a3c48bd318.jpg,a lone woman wearing a bikini on a beach walking a dog on a leash,A woman in a bathing suit walks a dog on the beach .,A woman in a bikini pulls a dog on a leash at the beach .,A woman is standing at the beach with her dog on a leash,A woman walking a dog on a beach .,a woman walking a dog on a beach .,40.09735107421875,37.864009857177734,40.2680549621582,37.787906646728516,35.85105895996094,35.85105895996094
